location,elevation_m
katoomba,497.20131910237416
katoomba,571.9297778917105
katoomba,1474.7463586104027
katoomba,1271.2128668205676
katoomba,524.6976907897915
katoomba,666.2078091154373
katoomba,596.7035048746774
katoomba,1330.008257145235
katoomba,615.1422897708604
katoomba,1067.4001987801312
katoomba,1395.5516809137223
katoomba,575.0059322208656
katoomba,1297.9472314205136
katoomba,770.6029338054773
katoomba,117.28877448395632
katoomba,885.6084043788278
katoomba,1141.1682517422796
katoomba,662.2635954957716
katoomba,140.14439706871542
katoomba,1165.6472851365702
katoomba,456.66549588690617
katoomba,395.5016098839812
katoomba,548.3813680876574
katoomba,1008.8350748321649
katoomba,634.1633165806346
katoomba,165.74452680448104
katoomba,1297.523837185207
katoomba,1429.7260850557118
katoomba,930.5202639235562
katoomba,351.1935265334922
katoomba,1393.476470510123
katoomba,383.11043237034386
katoomba,1404.0411808157494
katoomba,1093.485039883876
katoomba,123.44295325699053
katoomba,197.93175173978432
katoomba,997.7466989351885
katoomba,632.2383318491713
katoomba,821.6220235935118
katoomba,550.0048792745154
katoomba,619.8911471756919
katoomba,965.9630821236836
katoomba,1497.7297339060133
katoomba,1101.4414743908483
katoomba,758.4730674690396
katoomba,1468.4812255753116
katoomba,761.0058729443901
katoomba,376.48338657145405
katoomba,507.37581492768544
katoomba,1303.311008774956
katoomba,844.8049140757238
katoomba,168.93809886491135
katoomba,391.5192294187594
katoomba,1021.754200447386
katoomba,590.0047705494217
katoomba,743.9974032168719
katoomba,1329.6471548193615
katoomba,660.1113104399092
katoomba,833.8975576505892
katoomba,955.1077511730334
katoomba,206.86705931608986
katoomba,1440.019863674869
katoomba,178.8846882441747
katoomba,811.4568864928378
katoomba,1168.6211914936407
katoomba,370.22962639174756
katoomba,1355.7221018963614
katoomba,812.6456564411671
katoomba,119.92604964078919
katoomba,797.4556912598608
katoomba,383.5819513913524
katoomba,464.60456797373627
katoomba,565.127098552271
katoomba,1445.5007155509302
katoomba,451.0809963071679
katoomba,279.93838751429007
katoomba,317.70116797371
katoomba,930.7089181901559
katoomba,756.7547740458041
katoomba,1360.8701284578556
katoomba,1332.3945260835599
katoomba,352.9443527389352
katoomba,545.5518610957897
katoomba,590.1574638081997
katoomba,532.1672008907656
katoomba,564.4514782505439
katoomba,128.16002188949582
katoomba,258.8900399124167
katoomba,660.6169838738532
katoomba,1231.6027867781422
katoomba,1305.2006964083655
katoomba,650.2458201127532
katoomba,860.1132905404617
katoomba,1056.8689916029066
katoomba,1076.0838722172916
katoomba,681.4277608209206
katoomba,854.2702978675493
katoomba,1124.737717225798
katoomba,349.62537706621936
katoomba,741.7825206434342
katoomba,1173.335799166471
katoomba,299.1385642017725
katoomba,107.76600927201478
katoomba,1226.6922580705075
katoomba,1215.2081739412122
katoomba,107.79915926488286
katoomba,992.7409550309037
katoomba,980.9355269356267
katoomba,482.53585940538136
katoomba,314.47729979885605
katoomba,1065.6820148213596
katoomba,902.54672204315
katoomba,323.4857293933591
katoomba,458.4355825782374
katoomba,1342.6647190749486
katoomba,946.6655350612617
katoomba,776.3312075851827
katoomba,986.2018837141649
katoomba,1499.5761213988783
katoomba,591.2105928201695
katoomba,1283.931781116943
katoomba,382.5619953440474
katoomba,1493.9790097223406
katoomba,954.0686818654891
katoomba,418.18046594270805
katoomba,407.1110101178874
katoomba,1051.7201934723364
katoomba,1042.9560078915706
katoomba,581.7791724817145
katoomba,627.8443981560416
katoomba,1068.6945328290649
katoomba,728.9958912766602
katoomba,644.6365722460137
katoomba,535.6809365183253
katoomba,423.199793564144
katoomba,1118.3132261162118
katoomba,815.2511850894426
katoomba,1430.2590286743207
katoomba,507.5231531370553
katoomba,772.6016384937125
katoomba,271.53404564596724
katoomba,154.09773088984915
katoomba,1464.1300691232286
katoomba,194.7130193107046
katoomba,338.1391018706072
katoomba,1391.3093336547186
katoomba,971.826874590795
katoomba,1464.8407866569567
katoomba,204.39247702746894
katoomba,406.390714419127
katoomba,1205.0587025621496
katoomba,487.442019105981
katoomba,1072.7646495814201
katoomba,476.2008041002404
katoomba,838.0043066318112
katoomba,575.9816287080796
katoomba,1024.2079584142232
katoomba,1367.7292808330483
katoomba,426.86749106621204
katoomba,1174.4064646965865
katoomba,817.8410118023794
katoomba,257.1175227274226
katoomba,181.27031970143565
katoomba,760.764766782378
katoomba,578.281134397475
katoomba,804.2341689822058
katoomba,183.20061375076727
katoomba,669.5394540398211
katoomba,551.5169576910068
katoomba,314.41698063597767
katoomba,616.6859473364335
katoomba,346.4703976365492
katoomba,290.1603894245294
katoomba,798.5081790972248
katoomba,251.26041456628613
katoomba,760.1883486759672
katoomba,627.9255674149688
katoomba,294.4975502774013
katoomba,507.90735685482935
katoomba,1326.9454899702912
katoomba,116.5458946437817
katoomba,440.8473593752572
katoomba,1272.4852074081286
katoomba,1145.0010200898985
katoomba,1315.5232028934897
katoomba,186.2280496385459
katoomba,879.7286943477712
katoomba,1318.5886482886924
katoomba,209.18716785755458
katoomba,861.0899696864872
katoomba,1327.4094105303263
katoomba,310.20704230299725
katoomba,347.67649608921295
katoomba,489.391677384411
katoomba,1303.5332142574346
katoomba,1066.630688343794
katoomba,535.0867081221775
katoomba,504.3741341490619
katoomba,417.3495324033208
katoomba,664.3463888558771
katoomba,1304.8403560736306
katoomba,1267.7428709750545
katoomba,1195.868486766659
katoomba,159.1154970776474
katoomba,1450.8490767149913
katoomba,1162.6194317977759
katoomba,1234.2283766765997
katoomba,1158.601191467429
katoomba,814.7950682575818
katoomba,1144.8177755525378
katoomba,667.9261595179746
katoomba,1435.9867338699494
katoomba,892.3949195591007
katoomba,1078.7639356298605
katoomba,663.4184220340286
katoomba,858.9659818274685
katoomba,758.9031128696788
katoomba,879.2068670725912
katoomba,786.3320252939989
katoomba,447.2910047075378
katoomba,905.4660953102621
katoomba,1257.2366871785302
katoomba,1487.4676617350021
katoomba,1142.078225335065
katoomba,123.74018490200216
katoomba,1303.3560674179705
katoomba,616.3813134466421
katoomba,879.4126160927395
katoomba,1488.7491947980573
katoomba,732.5712098317433
katoomba,610.9096045342844
katoomba,230.40915035959495
katoomba,481.08536198259844
katoomba,1150.5470615058957
katoomba,1256.1687454574167
katoomba,149.96290812557513
katoomba,378.8436080393335
katoomba,1131.8517256404546
katoomba,820.220931190782
katoomba,746.3755053114679
katoomba,1282.8432845858677
katoomba,1284.2170275881365
katoomba,975.822294515216
katoomba,916.0195225931102
katoomba,133.24540418988443
katoomba,1456.026053995239
katoomba,789.0483005749776
katoomba,1368.1146089522313
katoomba,139.75857469365275
katoomba,1249.9694339451755
katoomba,773.9063757585105
katoomba,706.1901978074479
katoomba,582.0274672920772
katoomba,1051.4056609038892
katoomba,1074.7389664854456
katoomba,561.7025718070522
katoomba,1366.4115700969078
katoomba,224.3246180820431
katoomba,933.8584858307253
katoomba,811.9680962504779
katoomba,528.4754699298342
katoomba,711.7730765079316
katoomba,739.0907114151138
katoomba,725.9523008754973
katoomba,770.6325673474645
katoomba,103.48950381118169
katoomba,277.6092441133628
katoomba,895.3249288338477
katoomba,755.9654253991796
katoomba,320.2416291014912
katoomba,1454.1451842769357
katoomba,787.6419574464843
katoomba,1058.6351666912306
katoomba,1308.2191181471676
katoomba,1257.7419063188584
katoomba,892.2166054642171
katoomba,332.20880216759326
katoomba,1405.6368845953643
katoomba,286.13575775080665
katoomba,581.0229770176172
katoomba,1000.0092194375125
katoomba,1128.0626193740238
katoomba,600.0815191699523
katoomba,100.79117348034295
katoomba,1383.3455923058111
katoomba,1155.800475270236
